timestamp,frame_id,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1769706665742706944,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706665792667904,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706665842765568,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706665892660992,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706665942772992,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706665992763392,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666042728192,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666092772608,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666142773760,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666192771840,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666242768640,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666292773376,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666342772480,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666392661504,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666442775296,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666492774400,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666542661888,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666592764416,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666642771456,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666692662784,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666742639360,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666792661504,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666842662400,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666892876544,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666942661888,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706666992773120,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667042662656,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667092764160,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667142776064,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667192662528,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667242663424,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667292781056,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667342663424,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667392792064,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667442754304,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667492662528,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667542765056,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667592769792,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667642766336,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667692816128,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667742787072,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667792664064,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667842662400,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667892785408,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667942754560,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706667992671232,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706668042782976,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706668092662784,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706668142671104,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706668192662528,base_link,0.0,0.0,0.0,0.0,0.0,0.0
1769706668242685952,base_link,0.0,0.0,0.0,0.0,0.0,0.0
